address.outcode,year_sale,sample_listed_sold,min_listed_sold_percentage,lower_quartile_listed_sold_percentage,median_listed_sold_percentage,mean_listed_sold_percentage,upper_quartile_listed_sold_percentage,max_listed_sold_percentage
HS,2012,16,-23.52941176,-7.618644068,-5.26827012,-6.860888498,-3.241011236,2.157894737
HS,2013,27,-37.27272727,-10.88235294,-1.875,-5.745296242,0,20
HS,2014,15,-90.72463768,-10.04901961,-6.302521008,-12.52570741,0,5.882352941
HS,2015,24,-84.90943396,-6.246081505,-3.582887701,-5.663623474,0,25.265
HS,2016,30,-50,-8.67003367,-1.851851852,-5.474160921,0,29.41176471
HS,2017,72,-22.22222222,-5.221005677,0,-1.767796204,0.147928994,37.14227273
HS,2018,78,-25,-7.546651277,-3.110788582,-2.9920214,0,42.78086957
HS,2019,63,-22.10526316,-5.062445016,0,-1.833963631,1.536075676,19.41176471
HS,2020,51,-32.85714286,-4.369369369,0,-0.918432862,1.704545455,54.23076923
HS,2021,79,-50,-1.747557998,0.869565217,2.249131994,8.220720721,37.77777778
HS,2022,38,-13.33333333,0.931818182,4.673913043,8.969563842,17.74148601,47.58117647
HS,2023,0,0,0,0,0,0,0
IV,2010,117,-74.13793103,-2.482269504,0,-1.258496917,0.909090909,19.58762887
IV,2011,235,-91.75257732,-4.164086687,-1.818181818,-3.087950965,0,26.06303152
IV,2012,340,-80.95238095,-4.848812441,-1.818181818,-2.967542593,0,27.55102041
IV,2013,353,-66.66666667,-4.347826087,-1.851851852,-2.965744268,0,76.52173913
IV,2014,658,-90.20833333,-2.281467026,0,-1.417603339,0,41.09891892
IV,2015,1089,-42.30769231,-2.19869108,0,-0.807283912,0.909090909,18.90243902
IV,2016,1334,-63.29113924,-1.666666667,0,-0.29685885,1.124921169,29.33333333
IV,2017,1627,-55.17241379,-1.818181818,0,-0.247833611,1.430382718,50
IV,2018,1685,-69.23076923,-0.884955752,0,0.201392466,1.944444444,33.33333333
IV,2019,2024,-75,-0.909090909,0,0.47269332,2,74.28643597
IV,2020,1600,-64.39428571,0,0.203306056,0.935400314,2.752747253,56.25
IV,2021,2201,-67.33333333,0,2.307692308,3.477651008,5.708505747,96.36363636
IV,2022,1637,-56.47058824,1.449275362,5,5.953707658,9.367088608,81.81818182
IV,2023,99,-20,0,1.212121212,1.318993253,3.960784314,25.08487805
KA,2010,73,-59.01212121,0.873951041,4.411764706,3.325339196,7.230379747,56
KA,2011,362,-83.11444653,-2.856795913,0,1.327316357,5.118047091,53.35037226
KA,2012,1583,-73.15436242,-3.625410734,0,-0.194870475,3.600230415,68.42105263
KA,2013,1991,-90.8988764,-3.157894737,0,0.432133557,4.166666667,92
KA,2014,2308,-76.92307692,-1.793831169,1.136400323,1.223848297,4.617000646,56.25
KA,2015,1859,-72,-2.116461366,0.609756098,0.774867541,4.188377102,66.00440029
KA,2016,1744,-82.97911111,-2,0.738017429,0.942549126,4.291498642,85.52631579
KA,2017,2005,-66.66666667,-1.176470588,1.334008893,1.46294202,4.6875,86
KA,2018,2650,-60.31431066,0,3.225806452,3.432074585,7.142857143,92.55
KA,2019,3212,-90.54523966,0,4.109589041,4.132451181,7.932402846,60
KA,2020,2491,-77.27272727,0.33396521,5,5.012218683,9.109337506,97.5
KA,2021,3027,-74.31127395,3.846153846,8.988764045,9.688617327,15,80
KA,2022,2375,-73.68421053,6.147845357,11.42857143,12.44382473,17.78104956,91.25
KA,2023,256,-35.71428571,2.356975388,6.909814324,6.737756936,11.41666667,61.9047619
KW,2010,0,0,0,0,0,0,0
KW,2011,15,-55,-3.486513487,-1.470588235,-4.963770739,0,6.711129637
KW,2012,52,-53.125,-4.778325123,-2.313829787,-3.038857351,0,23.15789474
KW,2013,79,-87.5,-5.970095377,-2.5,-4.9685514,0,12.5
KW,2014,132,-58.82352941,-4.733783277,-0.838703182,-3.140903694,0.000694464,25
KW,2015,127,-38.46153846,-2.792207792,0,-0.869460082,1.492628993,25
KW,2016,154,-74.74747475,-3.830561331,0,-2.151163759,0.200275398,35.62769231
KW,2017,167,-57.14285714,-3.846153846,0,-1.421080896,1.078506098,37.43718593
KW,2018,237,-26.66666667,-3.896103896,0,-0.633062084,1.5625,26.08695652
KW,2019,217,-58.33333333,-2.352941176,0,0.074607263,2.631578947,41.012
KW,2020,219,-46,-2.552845528,0,-0.296241435,3.197652404,24.44444444
KW,2021,342,-68.88888889,0,2.032232704,3.130312334,6.590619694,53.33333333
KW,2022,237,-22.22222222,0,4.137931034,5.732634162,9.677419355,40.64102564
KW,2023,11,-10,-3.204887218,0,-0.78579197,2.072649573,4.761904762
KY,2010,127,-72.09302326,-3.794169812,0,-1.0885641,1.169630643,92.30769231
KY,2011,508,-84,-3.700190418,-0.606617647,-1.043966771,0,61.59090909
KY,2012,944,-76.45673926,-4.166666667,-1.176470588,-2.060624445,0.000657895,28.88533333
KY,2013,1380,-71.42857143,-3.522352941,-0.772212284,-1.443821605,0,44.82758621
KY,2014,2333,-96.66110184,-2.222222222,0,-0.238418415,1.354775499,96.15384615
KY,2015,3040,-90,-1.714285714,0,0.119841436,1.851851852,85
KY,2016,3346,-86.92307692,-1.300000433,0.00339092,0.44748105,2.407228916,56.66666667
KY,2017,3735,-61.36275824,-0.769230769,0.350877193,0.970460914,2.813522671,71.69528255
KY,2018,3968,-85.77777778,0,0.867059266,1.167790264,3.278869335,93.33333333
KY,2019,4371,-77.11864407,0,0.952380952,1.247824035,3.333333333,79.61025641
KY,2020,3507,-90.43478261,0,1.923076923,2.390748284,4.623431767,66.66944456
KY,2021,4493,-69.35064935,1.382806304,4.8536495,6.057292142,9.623461538,64.70588235
KY,2022,3449,-50,3.428571429,7.317073171,7.964483018,11.76470588,60.62901573
KY,2023,191,-15.38461538,0,2.857142857,3.465614539,4.699776883,32.68919674
ML,2010,31,-34.48275862,-6.066176471,0,4.612551828,4.554865424,85.71428571
ML,2011,308,-93.68417729,-4.0533495,0,0.387775515,4.393811809,48.98143708
ML,2012,1136,-83.63586775,-4.908302025,0,-1.37560179,2.44330338,77.36372063
ML,2013,1585,-91.11086419,-4.265321822,0,-1.861920279,2.142857143,92
ML,2014,2011,-89.97821351,-2.777777778,0,0.00572948,2.941176471,64
ML,2015,2043,-56,-2.77507701,0,0.142187326,3.111069572,93.33333333
ML,2016,2293,-60,-1.515151515,0.010001,0.683114049,3.578827059,95
ML,2017,2781,-86.66651852,-0.343842881,1.290322581,1.451623692,4.47761194,88.88888889
ML,2018,3645,-87.33324889,0,2.288636818,2.381108943,5.263157895,85.45454545
ML,2019,3867,-90,0,2.609587909,2.689798599,5.483787084,80.1501251
ML,2020,3296,-87.16956924,0.839285685,4,4.171627428,7.232403862,70.73170732
ML,2021,4287,-60,3.336777893,7.219442459,7.965433371,11.92798701,94.48181818
ML,2022,3381,-37.49843746,4.716981132,9.090909091,9.737339302,14.00760051,90
ML,2023,235,-15.4507023,2.809947414,5.882352941,6.301985678,9.242485288,30.5591822
PA,2010,94,-10.72142857,-1.24853114,0.597643098,2.67310371,6.493506494,42.85714286
PA,2011,291,-50.58823529,-3.703703704,0,0.100877863,4.127942999,44.44444444
PA,2012,1045,-95.2082335,-4,0,-0.662165013,2.826086957,76
PA,2013,1379,-97.4025974,-4.641025641,0,-1.950556505,2.076149425,40.612
PA,2014,1595,-69.79865772,-2.666666667,0.001538485,0.370723956,3.632996633,44
PA,2015,1772,-71.42653047,-1.946486531,1.02828443,0.99234735,4.217216771,83.24324324
PA,2016,2005,-83.70555556,-1.036512318,1.886792453,1.641737849,4.761904762,65
